T,PD [kW],cOS[R$/kWh],PGD[kW]
1,1.9317,0.22419,0
2,1.609,0.22419,0
3,1.4079,0.22419,0
4,1.3281,0.22419,0
5,1.3834,0.22419,0.0796
6,1.6413,0.22419,0.4565
7,1.9395,0.22419,1.0742
8,1.7383,0.22419,1.579
9,1.8341,0.22419,2.4343
10,1.8354,0.22419,2.7488
11,1.9312,0.22419,3.5092
12,2.3645,0.22419,3.8988
13,2.2038,0.22419,3.9734
14,2.2997,0.22419,3.7105
15,2.1659,0.22419,3.1671
16,2.5046,0.22419,2.7282
17,2.749,0.32629,2.3926
18,4.0597,0.51792,2.1764
19,4.9924,0.51792,1.9083
20,5.4257,0.51792,1.4257
21,5.0491,0.32629,0.0034
22,4.4294,0.22419,0
23,3.7692,0.22419,0
24,2.7716,0.22419,0
